2025-05-26 21:25:54.625 INFO  [background-preinit] o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.3.Final
2025-05-26 21:25:54.636 INFO  [main] URLShortenerApplication - Starting URLShortenerApplication using Java 17 on DESKTOP-G04C27L with PID 12968
2025-05-26 21:25:54.636 INFO  [main] URLShortenerApplication - No active profile set, falling back to 1 default profile: "default"
2025-05-26 21:25:55.349 INFO  [main] o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2025-05-26 21:25:55.352 INFO  [main] o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2025-05-26 21:25:55.361 WARN  [main] o.s.b.a.AutoConfigurationPackages - @EnableAutoConfiguration was declared on a class in the default package. Automatic @Repository and @Entity scanning is not enabled.
2025-05-26 21:25:55.363 INFO  [main] o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 3 ms. Found 0 JPA repository interfaces.
2025-05-26 21:25:55.384 INFO  [main] o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2025-05-26 21:25:55.385 INFO  [main] o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2025-05-26 21:25:55.392 INFO  [main] o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 0 ms. Found 0 Redis repository interfaces.
2025-05-26 21:25:55.955 INFO  [main] o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8081 (http)
2025-05-26 21:25:55.963 INFO  [main] o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"]
2025-05-26 21:25:55.964 INFO  [main] o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-05-26 21:25:55.964 INFO  [main] o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.63]
2025-05-26 21:25:56.068 INFO  [main] o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-05-26 21:25:56.068 INFO  [main] o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1396 ms
2025-05-26 21:25:56.332 DEBUG [main] com.devportal.util.Util - Log directory already exists at:
2025-05-26 21:25:56.390 INFO  [main] org.hibernate.Version - HHH000412: Hibernate ORM core version 5.6.9.Final
2025-05-26 21:25:56.529 INFO  [main] o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2025-05-26 21:25:56.849 INFO  [main] org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.PostgreSQLDialect
2025-05-26 21:25:57.259 INFO  [main] o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2025-05-26 21:25:57.338 WARN  [main] o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2025-05-26 21:25:57.708 INFO  [main] o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8081"]
2025-05-26 21:25:57.726 INFO  [main] o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8081 (http) with context path ''
2025-05-26 21:25:57.732 INFO  [main] URLShortenerApplication - Started URLShortenerApplication in 3.429 seconds (JVM running for 9.011)
2025-05-26 21:26:02.360 INFO  [RMI TCP Connection(6)-127.0.0.1] o.s.b.a.SpringApplicationAdminMXBeanRegistrar$SpringApplicationAdmin - Application shutdown requested.
